,Bx,By,Bz
682,-7.81832,-9.67935,-12.4201
683,-8.4531,-10.3415,-11.4113
684,-8.66327,-10.2562,-11.3511
685,-8.9339,-9.95634,-11.429
686,-8.64637,-9.88946,-11.7033
687,-8.27459,-9.61869,-12.214
688,-8.17391,-9.7878,-12.1524
689,-8.36875,-9.95342,-11.8937
690,-8.47404,-10.0987,-11.7254
691,-8.39846,-10.7306,-11.2185
692,-8.44758,-10.6141,-11.2596
693,-8.53443,-10.3064,-11.4599
694,-8.56027,-10.1865,-11.6277
695,-8.78615,-9.9032,-11.7421
696,-8.58598,-10.2247,-11.4993
697,-8.25532,-11.16,-10.7331
698,-8.3822,-10.7663,-10.9718
699,-8.48659,-10.7585,-10.9841
700,-8.24673,-11.0348,-10.9761
701,-8.20089,-10.9447,-11.0967
702,-8.21378,-10.918,-11.1017
703,-8.42218,-10.8077,-11.1125
704,-8.28959,-10.7193,-11.3414
705,-8.33472,-10.6068,-11.5263
706,-8.48323,-10.846,-11.1063
707,-8.45918,-11.9601,-10.1192
708,-8.76739,-11.6772,-10.3362
709,-8.95473,-11.007,-10.9088
710,-8.92639,-10.9449,-11.0307
